Angle: 209.72442533083532, Shoulder: (0.6243964433670044, 0.3311811685562134), Elbow: (0.7901942133903503, 0.49107399582862854), Wrist: (0.871833086013794, 0.7699993848800659)
Angle: 201.67111647067634, Shoulder: (0.6214525103569031, 0.31437331438064575), Elbow: (0.7781002521514893, 0.497493714094162), Wrist: (0.8715049624443054, 0.7707149982452393)
Angle: 199.1352403250517, Shoulder: (0.6189497709274292, 0.3049314320087433), Elbow: (0.7756701707839966, 0.5007106065750122), Wrist: (0.8715054392814636, 0.7707136273384094)
Angle: 195.2290445159124, Shoulder: (0.6191099882125854, 0.3071328103542328), Elbow: (0.7725380659103394, 0.517479658126831), Wrist: (0.8697354197502136, 0.7723057866096497)
Angle: 190.4827779190521, Shoulder: (0.6313703656196594, 0.30769696831703186), Elbow: (0.7741574645042419, 0.534723162651062), Wrist: (0.8700109720230103, 0.7757775783538818)
Angle: 191.6294237587766, Shoulder: (0.6306887269020081, 0.30321431159973145), Elbow: (0.7749369144439697, 0.5287355780601501), Wrist: (0.8700136542320251, 0.776749849319458)
Angle: 191.36091779479278, Shoulder: (0.65018230676651, 0.34521687030792236), Elbow: (0.7748068571090698, 0.5383692979812622), Wrist: (0.8700301647186279, 0.7804827094078064)
Angle: 194.11812748572947, Shoulder: (0.65511554479599, 0.3558114767074585), Elbow: (0.7788978219032288, 0.5352873206138611), Wrist: (0.871224582195282, 0.7825497388839722)
Angle: 193.3312292449705, Shoulder: (0.6583190560340881, 0.35990533232688904), Elbow: (0.7783728837966919, 0.538804829120636), Wrist: (0.8695768713951111, 0.7823121547698975)
Angle: 193.46648601780126, Shoulder: (0.6624863743782043, 0.3625970482826233), Elbow: (0.7814225554466248, 0.5416263341903687), Wrist: (0.8695906400680542, 0.7821515202522278)
Angle: 233.48657130283254, Shoulder: (0.6724382638931274, 0.3656750023365021), Elbow: (0.8643801808357239, 0.5023621320724487), Wrist: (0.8695301413536072, 0.7813012599945068)
Angle: 216.87412685109533, Shoulder: (0.6806650161743164, 0.3688810169696808), Elbow: (0.8495157361030579, 0.5553781986236572), Wrist: (0.8703925013542175, 0.7811546921730042)
Angle: 199.3646918997718, Shoulder: (0.6795036196708679, 0.3731294274330139), Elbow: (0.8140134215354919, 0.5704907178878784), Wrist: (0.8693556189537048, 0.7783164381980896)
